source,target,weight
19,120,0.751441496
26,63,0.790648062
35,66,0.727053928
41,82,1
46,61,0.786710116
51,52,1
51,76,0.922326644
51,81,0.832108079
56,118,1
58,41,1
58,82,1
76,52,0.922326644
76,81,0.795713159
81,52,0.832108079
101,100,0.964035673
107,90,0.889947728
108,106,0.843781971
109,119,0.9087135
109,3,0.875474362
113,105,1
119,3,0.806109503
121,56,1
121,118,1
162,160,0.925101952
